2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.ConnectException: Ligação recusada 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Connection reset 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: Cause: java.net.SocketException: Ligação terminada no destino 
2016/05/11 16:55:43 ERROR - jmeter.protocol.http.sampler.HTTPJavaImpl: readResponse: java.net.SocketException: Connection reset 
